name,num_nodes,true_clusters,pf1,nmi,ari
jimingchen,366,9,0.510628881643973,0.20719,0.14325
jianhuayin,446,19,0.25875279233386916,0.33142,0.10844
hidekihayashi,168,12,0.2972755118491053,0.38490,0.14382
hongjiezhang,625,12,0.5825846409948836,0.28095,0.13018
hvogel,111,4,0.39602711650638506,0.06812,-0.00571
wengao,33,4,0.39709443099273606,0.34689,0.09990
rgupta,271,15,0.4421436103921005,0.33927,0.24167
jiegong,405,29,0.21451787648970747,0.46561,0.15245
bingren,351,9,0.4368051879301218,0.31482,0.25862
zhenlei,206,4,0.7620865963368068,0.18660,0.16602
chunchen,828,21,0.5911666229947303,0.24654,0.20930
frankcaruso,293,4,0.8161427235450686,0.08064,0.08928
hainingwang,406,20,0.3860712919082801,0.43515,0.24204
jianlongwang,738,12,0.5592940809259282,0.29166,0.24277
average,,,0.41577,0.33363,0.15505
name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.567295046032442,0.75754,0.48673
hongyuanchen,458,3,0.9876899901070239,0.87013,0.91801
jietang,1198,43,0.4092284338902694,0.73941,0.37535
minhu,526,23,0.5532067359369401,0.79316,0.52157
feichen,1412,79,0.36326067442372506,0.72705,0.34468
hongjunsong,268,4,0.7294409669760414,0.48714,0.46150
binzhou,1529,95,0.309218174772331,0.73976,0.28992
xiangzhang,2364,116,0.21978837598749365,0.70628,0.19732
hongfuzhang,274,4,0.981453599781002,0.92538,0.96956
weiminliu,1434,30,0.21757708742349002,0.52226,0.11724
aiqinwang,346,4,0.9877600113202207,0.95113,0.97675
hermannwagner,408,4,0.46576512874904247,0.24572,0.16194
yaowang,1406,77,0.26990744011870277,0.68823,0.25004
jianpei,577,6,0.7028577815864971,0.70486,0.57406
jihuawang,660,11,0.3536802062216883,0.38553,0.15742
weiren,586,19,0.46361409199130466,0.69557,0.41616
shinjitanaka,386,12,0.3680695620994129,0.53149,0.26754
qunli,742,24,0.36599259005369766,0.67823,0.30783
haijiang,506,28,0.3385746375331836,0.69069,0.28392
barrysmith,253,11,0.25172180958811613,0.34457,0.15339
lingwang,716,21,0.5455507073912469,0.72247,0.51120
xiaohongguan,594,6,0.4337873163968284,0.50173,0.21195
jiewu,2588,84,0.28979085535226684,0.69044,0.25335
jijunzhao,105,4,0.9101978691019788,0.86276,0.87162
jianyang,2863,120,0.302735994314817,0.71473,0.28717
ruiwang,2641,143,0.2672907601927951,0.73550,0.25266
haibohe,384,6,0.35811936394300264,0.24499,0.06259
davidparker,253,6,0.6344030066493205,0.64202,0.49954
fengwang,737,19,0.5053302433371958,0.71786,0.47193
gangli,3228,157,0.2918205983060011,0.72746,0.27979
baohongzhang,271,5,0.8027707495126302,0.83310,0.71027
bingxu,1233,68,0.38737938039614017,0.72728,0.36915
biaohuang,776,14,0.560727969348659,0.70564,0.50728
taoli,2146,138,0.24596263561236076,0.73345,0.23359
lixingao,404,5,0.6265618348899517,0.52426,0.33489
jiegao,1254,102,0.3574866572803772,0.77055,0.34492
jimingchen,366,9,0.5242494226327944,0.74679,0.40671
jianhuayin,446,19,0.5267008910131586,0.73516,0.48613
hidekihayashi,168,12,0.49332524271844663,0.68792,0.42618
hongjiezhang,625,12,0.5091272661943558,0.63154,0.33860
hvogel,111,4,0.8837068443367657,0.86299,0.84060
wengao,33,4,0.8178137651821863,0.86143,0.76220
rgupta,271,15,0.33449612403100776,0.64631,0.25303
jiegong,405,29,0.4397145042059648,0.74883,0.41162
bingren,351,9,0.679403369855446,0.80213,0.61323
zhenlei,206,4,0.654384236453202,0.60538,0.38254
chunchen,828,21,0.2735898947777933,0.58822,0.16750
frankcaruso,293,4,0.4015201344734342,0.12162,0.04342
hainingwang,406,20,0.41614401858304306,0.74284,0.36065
jianlongwang,738,12,0.5900812940573629,0.61288,0.46054
average,,,0.49941,0.66865,0.40772
name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.9660649819494584,0.93933,0.95755
hongyuanchen,458,3,0.5415578525966817,0.15489,0.06443
jietang,1198,43,0.7356980699465256,0.77439,0.70883
minhu,526,23,0.7517820237040785,0.83174,0.72850
feichen,1412,79,0.6862345836129301,0.75705,0.67246
hongjunsong,268,4,0.6514492542105724,0.48975,0.38128
binzhou,1529,95,0.5743746582832149,0.73120,0.55197
xiangzhang,2364,116,0.5070888903488601,0.59508,0.46343
hongfuzhang,274,4,0.915353026890979,0.81284,0.85810
weiminliu,1434,30,0.48922158588910436,0.58235,0.34203
aiqinwang,346,4,0.7885606140258649,0.76157,0.65654
hermannwagner,408,4,0.5832332813062793,0.54099,0.35999
yaowang,1406,77,0.3390556457462609,0.64542,0.30957
jianpei,577,6,0.9153847340729198,0.84333,0.86141
jihuawang,660,11,0.3399050516106861,0.45480,0.15727
weiren,586,19,0.7126727812944065,0.79321,0.67655
shinjitanaka,386,12,0.4929967555590726,0.66827,0.39159
qunli,742,24,0.5636888785155794,0.75519,0.50947
haijiang,506,28,0.5207094012342247,0.81105,0.48542
barrysmith,253,11,0.4007421150278293,0.50107,0.32702
lingwang,716,21,0.7947022738603602,0.79565,0.77437
xiaohongguan,594,6,0.5496827334558576,0.56212,0.31015
jiewu,2588,84,0.574921004272131,0.62497,0.52057
jijunzhao,105,4,0.9363363363363363,0.86134,0.90842
jianyang,2863,120,0.3007680465612397,0.61512,0.27205
ruiwang,2641,143,0.24500362340984694,0.60838,0.22345
haibohe,384,6,0.5264032426580733,0.39486,0.17812
davidparker,253,6,0.7667832167832168,0.77294,0.68154
fengwang,737,19,0.7299103413710532,0.84280,0.71079
gangli,3228,157,0.2633682802964564,0.59670,0.24237
baohongzhang,271,5,0.7723204727444012,0.82249,0.67264
bingxu,1233,68,0.4266126174020911,0.67042,0.39473
biaohuang,776,14,0.7560118947427482,0.82565,0.71396
taoli,2146,138,0.2199819440264821,0.64531,0.20386
lixingao,404,5,0.6381026573184454,0.54425,0.34301
jiegao,1254,102,0.4650769758905702,0.76389,0.45200
jimingchen,366,9,0.6862220130042073,0.80035,0.58535
jianhuayin,446,19,0.8210361834073928,0.86711,0.80051
hidekihayashi,168,12,0.6990415335463259,0.83649,0.66186
hongjiezhang,625,12,0.6990565014640494,0.68382,0.53645
hvogel,111,4,0.864713216957606,0.80959,0.81655
wengao,33,4,0.9291338582677166,0.92813,0.90670
rgupta,271,15,0.5779382684206,0.72024,0.50711
jiegong,405,29,0.6136992619926199,0.79636,0.59211
bingren,351,9,0.6513864251703855,0.78428,0.58117
zhenlei,206,4,0.7173624288425048,0.56148,0.46686
chunchen,828,21,0.4649065461452536,0.51730,0.30331
frankcaruso,293,4,0.47821350762527226,0.17022,0.12562
hainingwang,406,20,0.7332796814774026,0.82226,0.68861
jianlongwang,738,12,0.43586060454659004,0.60451,0.31020
average,,,0.61627,0.68585,0.51896
name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.9926049618320612,0.98484,0.99073
hongyuanchen,458,3,0.5193781232648528,0.15018,0.05297
jietang,1198,43,0.7696294457203153,0.80476,0.74701
minhu,526,23,0.8225879635358662,0.88244,0.80552
feichen,1412,79,0.6932003667016972,0.79123,0.67940
hongjunsong,268,4,0.6166069762542511,0.52841,0.34835
binzhou,1529,95,0.7274138225388401,0.76687,0.71155
xiangzhang,2364,116,0.47029623918131586,0.61489,0.42824
hongfuzhang,274,4,0.9920440636474908,0.96018,0.98689
weiminliu,1434,30,0.4890109065814543,0.62180,0.34070
aiqinwang,346,4,0.7941638890635808,0.77586,0.66469
hermannwagner,408,4,0.5865614503424909,0.50960,0.34823
yaowang,1406,77,0.35584537534561006,0.62857,0.32510
jianpei,577,6,0.8944555144384351,0.83865,0.83004
jihuawang,660,11,0.33462384400684275,0.48562,0.16142
weiren,586,19,0.6895361990950226,0.78704,0.65384
shinjitanaka,386,12,0.46955180253329004,0.65084,0.36784
qunli,742,24,0.4902967244701349,0.79126,0.43499
haijiang,506,28,0.6866858026054316,0.87684,0.66338
barrysmith,253,11,0.3914209115281501,0.50727,0.31549
lingwang,716,21,0.8240750326093708,0.83474,0.80579
xiaohongguan,594,6,0.48013058651356527,0.54033,0.25175
jiewu,2588,84,0.6227984337689328,0.65466,0.57760
jijunzhao,105,4,0.9775811209439528,0.94151,0.96749
jianyang,2863,120,0.3652779893878471,0.66377,0.34178
ruiwang,2641,143,0.27472416722257154,0.64859,0.25494
haibohe,384,6,0.4688561425510791,0.36431,0.14331
davidparker,253,6,0.7585996211889777,0.68817,0.67532
fengwang,737,19,0.8023489184568497,0.87642,0.78656
gangli,3228,157,0.2960747171412063,0.64990,0.27839
baohongzhang,271,5,0.7504670866825983,0.79957,0.64475
bingxu,1233,68,0.5345856353591161,0.71899,0.51203
biaohuang,776,14,0.7607791334978736,0.85101,0.72142
